Independent_Variable,3rd-Ventricle,4th-Ventricle,5th-Ventricle,Brain-Stem,CC_Anterior,CC_Central,CC_Mid_Anterior,CC_Mid_Posterior,CC_Posterior,CSF,Left-Accumbens-area,Left-Amygdala,Left-Caudate,Left-Cerebellum-Cortex,Left-Cerebellum-White-Matter,Left-Hippocampus,Left-Inf-Lat-Vent,Left-Lateral-Ventricle,Left-Pallidum,Left-Putamen,Left-Thalamus-Proper,Left-VentralDC,Left-WM-hypointensities,Left-choroid-plexus,Left-non-WM-hypointensities,Left-vessel,Optic-Chiasm,Right-Accumbens-area,Right-Amygdala,Right-Caudate,Right-Cerebellum-Cortex,Right-Cerebellum-White-Matter,Right-Hippocampus,Right-Inf-Lat-Vent,Right-Lateral-Ventricle,Right-Pallidum,Right-Putamen,Right-Thalamus-Proper,Right-VentralDC,Right-WM-hypointensities,Right-choroid-plexus,Right-non-WM-hypointensities,Right-vessel,WM-hypointensities,bankssts,bankssts_rh,caudalanteriorcingulate,caudalanteriorcingulate_rh,caudalmiddlefrontal,caudalmiddlefrontal_rh,cuneus,cuneus_rh,entorhinal,entorhinal_rh,frontalpole,frontalpole_rh,fusiform,fusiform_rh,inferiorparietal,inferiorparietal_rh,inferiortemporal,inferiortemporal_rh,insula,insula_rh,isthmuscingulate,isthmuscingulate_rh,lateraloccipital,lateraloccipital_rh,lateralorbitofrontal,lateralorbitofrontal_rh,lingual,lingual_rh,medialorbitofrontal,medialorbitofrontal_rh,middletemporal,middletemporal_rh,non-WM-hypointensities,paracentral,paracentral_rh,parahippocampal,parahippocampal_rh,parsopercularis,parsopercularis_rh,parsorbitalis,parsorbitalis_rh,parstriangularis,parstriangularis_rh,pericalcarine,pericalcarine_rh,postcentral,postcentral_rh,posteriorcingulate,posteriorcingulate_rh,precentral,precentral_rh,precuneus,precuneus_rh,rostralanteriorcingulate,rostralanteriorcingulate_rh,rostralmiddlefrontal,rostralmiddlefrontal_rh,superiorfrontal,superiorfrontal_rh,superiorparietal,superiorparietal_rh,superiortemporal,superiortemporal_rh,supramarginal,supramarginal_rh,temporalpole,temporalpole_rh,transversetemporal,transversetemporal_rh
Age_x,3.812195849739242e-12,0.1420800849452214,0.4754702150383098,1.6255782235308175e-07,0.0007936544131767656,0.008631354942136129,2.0583745799914826e-05,0.3570385137178728,0.7998128860465444,2.6160083974089333e-05,3.131301561155576e-18,8.556167045871277e-25,0.8431887352656852,5.20179455831219e-06,1.6070449856109176e-07,1.1924721106769791e-28,1.4279291127466689e-19,5.674467598947484e-12,0.005012405486547114,2.4215431179036924e-11,1.485731720065796e-14,8.506587627528614e-15,,2.3351343243752533e-09,,0.9072421240435791,0.8384458771689529,1.5901167857522827e-21,6.115079356780375e-19,0.6793118441350029,2.6170333125502184e-05,8.231073616342796e-07,1.1930494719882953e-30,2.903713292662427e-17,2.690561730214235e-11,0.03746295372208535,3.663562056700861e-13,3.554513002924379e-14,1.1209293039877309e-12,,1.3753853350660683e-12,,0.7768686201827568,3.364545623538508e-17,9.481793422457493e-09,4.801869824980148e-11,0.0002053770039301238,0.00015505835582977829,1.8960926177513682e-05,0.00018348495653331635,0.005757057531020035,8.100791746690951e-05,3.121648387120202e-10,1.356760443239367e-14,0.05137026440473353,0.6474501611132878,1.7818647802606747e-09,1.1854408042419434e-11,3.316391145140318e-08,5.510156215130067e-08,1.5678288806438272e-11,5.021839521452342e-11,0.004194240706884975,6.565718609387035e-05,5.7518039680789025e-06,8.716922086028588e-07,2.708053767082991e-07,6.046863399653817e-09,1.2303234750460507e-08,8.273510806901772e-06,2.651261116830463e-06,6.872571791396062e-08,2.5791139979453833e-09,5.5809644231674565e-06,8.452840398801188e-12,3.13044567410177e-13,0.08003772991022438,0.0011447934327262037,0.00533474796948259,1.5465814372756857e-13,1.094013347369408e-17,1.9395623188619928e-07,1.4443096575506661e-06,3.885908282445751e-06,0.0028206080436577845,1.0035304556614167e-06,1.628613418342784e-06,0.0015299998866973045,0.0002639167173098744,1.2571751976051742e-07,9.253956243780083e-08,1.3631173495631374e-06,4.4752784373563625e-07,2.4400674630000544e-08,7.429235205125472e-10,2.471859956158736e-06,1.224633014386562e-07,0.0002785635804739908,0.00018796491391840576,1.291484001599019e-06,1.6066522473075768e-05,9.44504232762899e-08,1.607012625571676e-05,0.0006895300204963742,6.266813486837687e-05,3.811011173015116e-12,2.6221570259881724e-12,0.00411024927275961,0.000869535032421201,0.0013216539644726171,5.777482833539086e-05,6.768896662165369e-08,1.0516599354205503e-08
Animals_T_x,0.0015003177424515212,0.38901543165339864,0.41376438796986054,0.008254049458519614,0.0006490170154557629,0.010927104023516468,3.338116438326148e-05,0.5152616095428857,0.05410753708805057,0.1395228611315296,1.597427950918732e-07,1.8894818864287713e-09,0.0016480827190509379,0.08408533156013343,0.041751317177653846,7.21082349864183e-08,2.9333387913147945e-07,0.0024817796407253824,0.39579455847854206,1.0188533474249852e-07,1.0157073090877146e-07,0.00022019917416088295,,0.003977613014298322,,0.5382135586686152,0.17379870336163222,2.2145543608711758e-11,1.585479622178724e-09,0.003323984675909026,0.06210832020678858,0.07998117247695527,6.480039561095565e-09,3.452361233929348e-07,0.004305976099915943,0.21298511755055974,2.647799827834145e-07,7.566838523857353e-08,0.007492207915046273,,0.003819920463791265,,0.5587614637889208,0.002396934752072074,4.092167139571928e-08,1.6084671678130863e-07,0.004909022506835532,0.0486964255475625,3.5259491129251595e-10,1.3963006046794604e-07,0.019077416031408726,0.09531902136962155,4.2864840605370195e-06,1.4450789433377733e-06,0.11841604293243012,0.47536945515698487,6.97558237151414e-09,2.8591488687515506e-07,5.633613741156828e-07,5.041617881585153e-10,1.0717318951013456e-10,2.218868951864856e-09,0.0002633685606650604,1.8937914438053506e-05,9.81521443686437e-07,1.400530657603879e-05,1.873243062140463e-05,0.0003445368051099898,3.6817462384866916e-08,0.0001081879404652484,0.0040228026016400865,0.0019335870399518479,7.371431693501895e-06,1.7107811101337858e-06,1.732244018257354e-15,9.165095960723778e-12,0.729386381942997,0.07954274405049626,0.033566570307785905,8.699395268254716e-05,4.043669318768023e-06,2.2276357977390514e-09,1.4127868165010027e-06,0.0021739642439693313,0.0017308587241493592,2.135782572374497e-05,1.7301411504785575e-05,0.11200953221530065,0.699038880238635,0.0004502199709374166,6.271816428269471e-05,4.43990390998072e-06,0.00014997798665720587,2.2371280033822903e-06,3.1013540660523823e-06,2.1705672602239816e-06,4.6579247575269255e-06,0.00037220221694137515,0.00031859412656586966,8.214534818868387e-08,2.624573291648557e-06,1.238498117515973e-06,7.743959132601044e-07,4.932285525207051e-05,0.00013355779175166873,1.7093369213630532e-08,1.3430013060150196e-06,3.6366742738337096e-06,6.0306261494500724e-05,0.2677212875778313,0.0020055514915540526,0.0005677076278723071,0.0024027594511034627
Animals_raw_x,0.0002236700836285065,0.47898475465084356,0.5508221272332112,0.00017973310087435795,6.667689231507935e-05,0.0032710769734760666,5.133237548798719e-06,0.4155192526629745,0.047667610232952864,0.07117503535178678,1.1713923664144351e-09,2.4840388404858103e-14,0.014885081246708677,0.001977302507456765,0.0067806520516782475,1.7196542737442793e-11,7.186425529833634e-09,0.0022823766497776714,0.11678977747676829,4.7979476778189056e-08,2.608510606101362e-10,1.0168688733931495e-06,,4.667202857946114e-05,,0.1901118983411878,0.11127597993803011,5.2096505612341506e-14,1.796546790214981e-12,0.01725464584224556,0.002778040851929244,0.01598436428901563,2.737111959386911e-13,2.3536991153266897e-08,0.0028567620106979843,0.1557636279214223,4.975032831199777e-08,2.524596134465788e-10,6.33777320237154e-05,,0.00013489095062510728,,0.5100151561962437,3.8525512630597606e-05,1.4922360044783195e-12,1.0545539399752763e-10,0.00014024311902362138,0.001666817786838374,7.800042875371827e-11,1.396085418476142e-10,0.0019790584889495125,0.012011033140252968,5.799899852379921e-09,3.0646017141096036e-10,0.09309864755923258,0.4448953825524322,4.035828752768992e-13,6.260288902135223e-10,9.063426119085418e-10,2.7534677235362343e-12,2.945925339564377e-14,1.3019273147423367e-14,9.383881474014743e-06,1.4204661675922346e-07,4.0394916268246035e-08,8.524026019047578e-06,4.445333882414542e-08,3.864548999102795e-06,1.379218199003548e-11,1.1379907140748268e-06,7.90908636962981e-05,1.2644677919472707e-05,5.077469267857827e-07,1.7403458579065723e-07,8.537195027376388e-21,2.6705123671610955e-14,0.4564919930644672,0.011439135598976986,0.005108831111158505,2.5472694886565885e-08,1.9292886380894587e-09,4.9392284067642556e-11,2.08396759405258e-07,1.5438183176440074e-05,0.0003740484704328879,1.1070354312261602e-06,2.8161908677155106e-06,0.047176220696675195,0.21642839823078994,2.7844849482911673e-05,5.071318205195965e-07,3.111650904112777e-08,6.579860073739356e-06,1.6145385235769243e-09,3.625401004151812e-09,1.0450015208248016e-07,1.5090318374257561e-07,4.026454671013648e-06,2.3121435694868585e-05,5.130428867679023e-09,4.896914351775013e-07,3.8021820587873705e-10,1.1255018637211866e-08,9.342001023130944e-05,7.212852148609308e-05,3.4477503487072906e-13,1.4801490008962374e-09,9.93458103383712e-08,5.231704225835329e-06,0.03324833270965323,0.00010083497031182263,3.5499920235107468e-06,1.046078904817475e-05
BNT_totalwstim_T_x,0.6290991915755655,0.46946243398020615,0.9141045598445018,0.0003191378379075978,4.4053714438992196e-06,0.04377857358388436,0.06464787485643135,0.0810595050170544,0.0027711766894342707,0.7754015783287023,1.6855253822041087e-05,4.359375042250095e-07,0.0003815937480916887,0.0039686045425438585,0.0036637505748659763,2.2188740979079627e-05,0.0576174234730928,0.2201418719231173,0.11314847591701042,2.4945396095648162e-05,8.551752710888763e-06,2.4806369544750153e-06,,0.7647771184129357,,0.9992930504752278,0.747088466407547,2.881251280871085e-05,2.436796983866555e-06,0.00025896342924710034,0.001217480302616614,0.0018507800224557623,0.0001609479918970004,0.20912925050235467,0.11385604997574844,0.3357101700678479,4.710878943125021e-05,1.955103394708697e-06,0.00012193765564113324,,0.09461362475664055,,0.9727751514021615,0.4809459463755644,1.3849487389361235e-05,0.0007838934472623252,0.00039525108606877575,0.5785145241423172,9.363253679138931e-07,0.00461799234644727,0.016995983123177207,0.021147862759994418,1.8648754080445907e-08,3.7833473587313993e-06,0.08490575712772355,0.17073882592128903,3.038209623860171e-09,8.195038127790515e-06,0.00021209815315438856,0.0004140421887026649,3.0853417609114215e-07,3.4635294042207756e-06,3.5023004178766226e-07,8.836664220199234e-07,0.0014438312289250302,0.053653783480384035,6.256829051610697e-05,0.0003830117664031543,2.4636372297404664e-07,1.6795107614886933e-06,0.07724240086617545,0.007591564631073013,1.4609495997456716e-05,8.335220650658818e-08,1.0080448377060491e-10,7.015607718707108e-08,0.06298312297620366,0.009179793724723512,0.03426356051529592,7.461542004582736e-07,1.2926729218735362e-06,0.0015351360705272163,0.0014191629482097168,0.001785909666920459,0.00024192844638243368,0.0008447414419066638,1.4194040381589723e-05,0.10551572277288233,0.09994046178268348,0.04177829425317717,0.06404837269330813,0.015521889204798855,0.09109424317967539,0.0020447150263253463,0.008938959618564397,1.2211905023535308e-08,4.128319005507318e-06,5.341399029852635e-06,0.010559091177110333,8.355070649839224e-06,2.27944924777174e-05,2.5548706966546407e-05,6.8168278170228836e-06,7.251494184370195e-05,1.2919288508824872e-05,1.3117860885887433e-10,1.0351019597099422e-06,4.1566095460601377e-07,5.370192826684183e-05,2.5500676467215735e-06,4.470847715056765e-06,0.0003195593406595751,0.0013852906237980683
BNT_totalwstim_raw_x,0.321376662495342,0.879957904802711,0.9450287213594873,2.825391664668604e-06,2.4713958886303827e-05,0.026343710893243402,0.03333230062863546,0.09224762750640551,0.012418509474928457,0.982303697533924,6.024967973857273e-07,7.079457705118843e-10,0.07761750904269986,8.53782922490964e-05,1.1070604843455664e-05,1.0501125554558517e-09,6.48116797745876e-05,0.7303931458542856,0.24606113589274914,0.00028955578681811136,3.5732546357100416e-08,4.4047940153080535e-09,,0.6475991818433678,,0.8408360211431927,0.4912371598305414,1.771517434779984e-07,7.816970294861042e-08,0.016963167463207002,3.268961062644676e-05,0.00020162548398150814,1.335501170806432e-09,0.0029461398725866635,0.5636635712719945,0.20616823354689817,1.3281994530359756e-05,4.393857435299321e-08,1.1029213043746364e-06,,0.7996264906391588,,0.9083804041525918,0.0033791544623203917,1.5792019454941537e-06,5.752328939855221e-06,1.9211236751487365e-05,0.05065380452376237,7.96924340425265e-07,0.0008893507511001566,0.0003034397421113568,0.00015491335022465322,4.347209130342914e-12,1.1749578301454717e-10,0.05342794087919163,0.6768958778172072,1.6852206667041774e-13,2.0257657600796156e-09,6.163375282374246e-06,1.7173922560731005e-05,1.250665517963651e-10,1.5026116648151364e-09,5.499141972764353e-09,2.3442874851655714e-11,8.838692809902067e-05,0.006430999383310456,1.4719509883213235e-09,2.199586684652154e-08,1.0728397754170501e-10,9.200057621998281e-09,9.528392697542042e-05,5.155245839149763e-06,1.149658076522459e-06,9.972801445904563e-10,1.4694159653213734e-13,2.452988040680883e-09,0.1555975758521309,0.0033031650499371684,0.0031955277039689765,1.8958107296187276e-10,1.5262947867486751e-09,7.248021469508036e-05,2.2825065977888276e-05,6.789932120416692e-05,3.4138279080907717e-06,8.198033410598032e-06,1.982031098548324e-07,0.010341395259050645,0.013148786233593918,8.900230327852343e-05,0.0002373827413441954,0.0035071563394177053,0.0035361844402196077,2.022434602684709e-05,7.440880608608552e-05,2.1704075883438312e-08,2.95777053525606e-07,2.244457011646743e-07,0.000192971860727903,1.0941898448524066e-06,9.51733509266272e-06,8.505963620363978e-07,2.0005842370355764e-07,1.279157106990495e-05,3.31568852385574e-06,3.105299122826407e-14,6.660552622403963e-10,8.550326881636201e-07,6.314217796752085e-05,7.49363816279476e-08,6.761511395005103e-07,1.3237439884719017e-08,2.0294078366249515e-06
Edu_x,0.13860182490018302,0.01137986597068335,0.9847730562152678,0.005690193891434499,0.11863457100079412,0.14773305482536653,0.7986585873655029,0.13701133434592533,0.0915579882889612,0.14132102810728256,0.9664576302838342,0.054995789062576156,0.14479904355700482,2.649160681951848e-05,0.1258789382757398,0.06734506226615812,0.07777858315480596,0.000796526971062175,0.003794918663687285,0.9503537409331282,0.0021962268282174928,0.054208587276925235,,0.33604978046051864,,0.7108377042642838,0.3438268296996096,0.30389047742940223,0.04477233568307259,0.02615967934024481,1.197873569275895e-05,0.46906725710162495,0.06231810848023924,0.006286119846225044,0.003194943341709282,0.1393504194497473,0.30336985876537204,0.00019493618330730078,0.017060580244117763,,0.06367229075183156,,0.5954169674970151,0.46976354004275495,0.24082599358164136,0.12112476000964133,0.043188919989637635,0.04234514302549675,0.00220043635660701,0.0018503670692354137,0.0043172876761493895,0.005649727258245187,0.06984749898740324,0.12349157143688548,0.003931033041256816,0.2398201610589382,2.184037411709826e-05,0.0012632063132691804,0.0002925343785257918,0.004284824620951242,0.006716801219497832,0.0001190317221386694,0.0003429865380953834,0.00010129629666269877,0.00803617148157372,0.06686344455576003,2.761190688745962e-06,2.5583354548538933e-06,2.0113084592754997e-05,2.7299421000503577e-05,1.0486658635546543e-05,0.0006222112115030913,0.0005140701019417501,1.4843759366821658e-05,0.007679622390969681,0.02773309177769699,0.5323943426286143,0.012874454418872618,2.752781916564689e-05,0.08634393438482693,0.6455957888734833,0.003948032167890251,0.0013581122672253955,0.00019811893471445604,0.004103122212327208,0.00012785330685238878,0.011439790819388932,0.06638181174299289,0.023635480269113145,0.0022043868961195445,0.002137242819463129,0.009829105196553393,0.01721016289400549,0.00016447968357393656,0.00017542891977708941,0.000136314956776449,0.0008443658047658305,0.0006413230652149224,0.05710152388668243,2.0311905277341994e-05,0.0001250003249249866,0.0003709812710217348,5.78967202904722e-06,0.000169640152206647,0.0008774633302233429,0.0006096598928023455,0.0010653860185629491,0.0033193565364980564,0.0021319632591401613,0.00015079364657379345,0.08051273565473889,0.0011439058093932542,0.00022513656737365047
FAS_total_T_x,0.09151104401823054,0.9351462247260106,0.9956826070629484,1.4622912283895608e-05,0.01149334835565903,0.003227261860387046,0.0006384213370320528,0.332585725922961,0.023440108083819328,0.01673023241623342,0.005600388971288783,0.00043213954960362607,4.86235541683461e-07,0.00025789428556141495,0.005943675169255149,0.001500304641835673,0.005311962059076027,0.016573014950408436,0.0027600348860490997,6.06695078472821e-07,8.016403617641197e-06,2.370274886716352e-07,,0.08657172348576486,,0.48486891474726534,0.7876539482937404,4.502519193354188e-06,0.0004064871624202481,1.8227971827513733e-05,0.0002241291017973273,0.011218322721267973,0.0011699174797466655,0.07928039645182175,0.12635177466107964,0.02668370782109721,1.5518992609872574e-07,2.0476598719818678e-07,4.052592176832529e-06,,0.22277823816820197,,0.5750651338690617,0.2396047440265262,1.8012374138247427e-06,7.15087846903009e-05,5.831416374241696e-05,0.017585322545214877,2.2288026106262945e-07,6.535789230908209e-06,0.043900134399819185,0.06739691628394028,0.0008087381387020632,0.0013668046524346839,0.04908924279735468,0.9459567152890606,3.9773105752881184e-05,0.0005047247474255671,0.00014831709127504657,0.001200993313226941,1.6980912583292164e-05,8.64649691684714e-06,1.402269948842224e-05,7.432866372968577e-05,0.0020509930078307275,0.00040762765507666287,0.0357401812373985,0.012710247271064415,1.140647398158198e-06,9.013816596337358e-06,0.004226410657684589,0.00017503671940877295,2.9645803415824424e-06,1.5013454708638565e-05,2.443052032158604e-07,6.0300712598529e-06,0.11307739606325658,0.013319717234346827,0.0020433907491487903,0.00017289743892656183,0.003679175716095386,1.3619182094724454e-05,0.00013139314741388188,9.83847546247115e-05,0.0004124540949702935,5.297711533154821e-05,6.221730363895201e-05,0.10824845214698581,0.17318223507888775,6.482835984552571e-07,6.124228226125619e-05,5.565061508502515e-06,3.106615863137123e-05,4.614079810343371e-09,7.005056559930313e-07,0.00024319819832221707,4.399145706853842e-05,2.536976444616213e-05,0.0027112791395642903,1.447427040430983e-06,1.3156343086418266e-05,1.8552984488353322e-06,2.858361269603271e-06,0.001022426054478472,0.003966836548944,5.709534635552988e-09,9.231593570610178e-07,2.1781843355332256e-05,4.994711763328001e-05,0.008295508113001402,0.012627065452639058,2.263398166003433e-06,0.0001273503652481861
FAS_total_raw_x,0.05346488675817036,0.919456936008587,0.8672525993024268,4.3354190704022195e-06,0.00527469026942236,0.0018906591179799188,0.00043580615238783137,0.19241921982922414,0.017822243948098598,0.02656081491976691,0.0019774588926202994,1.2053836583918894e-05,8.440264771943638e-06,2.3089318244214183e-05,0.0015023999427903113,7.409649664148153e-06,0.0003107457037412217,0.02007283622435188,0.000871563250325163,1.473100890999107e-06,1.0032161888313081e-07,2.2152446104763777e-08,,0.027032785348753648,,0.3831581343258364,0.593621802785856,4.443794892876721e-07,4.488809375860498e-05,7.549735390536362e-05,4.1898852709117784e-05,0.005124342021934257,6.032176927765839e-06,0.02293897523504474,0.13171398407797608,0.01893931623971829,1.3959688300037145e-07,1.904172052769059e-09,5.99529013227067e-07,,0.07747670948397685,,0.7983709854504062,0.04613462215085729,3.320982284627624e-07,1.2859462514287073e-06,7.365721777443313e-06,0.0024010666576216454,2.746575007969309e-08,5.093099400236249e-07,0.01389796911245215,0.02040908333663473,2.231008407682889e-05,3.4003689625136144e-05,0.030314114413918482,0.9415164145912258,2.410402419083906e-07,6.40962185374895e-05,1.3784582598032288e-06,6.002526690319143e-05,8.748974197821337e-08,4.0232259780652635e-08,6.580771692800175e-06,5.714912809884752e-06,0.00024532190532568996,0.00010530642558220985,0.0011780355652493593,0.0008982215059131554,7.781981974847706e-09,4.034065942616242e-07,0.00032790236684382824,1.9028249918174946e-05,1.048911712477567e-07,1.1817857338191932e-06,1.3449243686420345e-09,1.7384791639298212e-07,0.0661430566943678,0.003410051960162488,0.00036582237892282305,1.0874451281997082e-05,0.0011133510295511498,5.33209854393014e-07,7.3960254210788645e-06,4.686937639776402e-06,0.00015022772684387885,2.2157375793158157e-06,1.8454489022127663e-05,0.08859295008030144,0.11413280758323574,2.2921027650881623e-08,1.5063739530520967e-06,1.5936974276414171e-06,1.1405741138996684e-05,6.648314110270446e-11,9.04105624669536e-09,9.434582470258125e-06,2.6092323315250503e-06,5.482138367408973e-07,0.00033285226936313875,5.72961758968596e-08,5.956098907809738e-07,5.811040830055627e-08,1.4440344674116908e-07,8.47194253324881e-05,0.0005378082086251112,3.0539976474253475e-11,1.0865717098434604e-08,5.18484857593844e-06,5.991938739430972e-06,0.002441712639323143,0.0050446670733047426,1.536054859902009e-08,1.5028240824776825e-06
