Test,Mean_CV_R2,Mean_CV_RMSE,Mean_CV_MAE,Final_R2,Final_RMSE,Final_MAE
FAS,-0.39256735882497723,12.937935570661622,10.532117632588257,-0.3997941411241379,13.093608458000235,10.532117632588259
Animals,-1.0097772120394333,18.848695127282774,15.77540704531484,-0.8868812069372769,19.006828722268157,15.775407045314838
BNT,-0.9452508814921075,15.488886476041563,12.785485639141983,-0.9145409185375781,16.112418171332852,12.785485639141982
