,mean,std,skewness,missing_values,min,max
Age_x,70.80729166666667,9.444318001593894,-0.26565025150643234,1.0,44.0,92.0
Edu_x,15.42896412037037,2.7242324372804836,-0.19484189232243557,7.0,9.0,22.0
FAS_total_raw_x,34.06231454005935,13.941170122657045,0.13956890007265732,48.0,0.0,75.0
FAS_total_T_x,43.54217666096677,11.952419909162462,-0.0425415680543598,54.0,13.0,78.0
Animals_raw_x,14.275134590925374,6.009926454707605,0.1117547103363476,50.0,0.0,33.0
Animals_T_x,38.539908536585365,15.003365137029554,-0.10186686736177192,57.0,-2.91,80.0
BNT_totalwstim_raw_x,52.15751226314541,7.36077772395291,-1.657472125173361,48.0,24.0,60.0
BNT_totalwstim_T_x,47.909204191963745,12.573092255918008,-0.013001246699732405,54.0,12.0,77.0
