Test,R²,RMSE,MAE
FAS,-0.19561128602433425,11.996321048101382,9.471255534786158
Animals,-0.07350667487794486,14.19520693102869,11.517865135539662
BNT,-0.2448894754376195,12.842761041712748,10.114418012387024
