Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
Age_x,cuneus_rh,-0.19975416631532056,8.100791746690951e-05,384
FAS_total_raw_x,superiorparietal,0.212455720492143,8.47194253324881e-05,337
BNT_totalwstim_raw_x,Left-Cerebellum-Cortex,0.21235733723084627,8.53782922490964e-05,337
Animals_T_x,parahippocampal,0.21496367239431485,8.699395268254716e-05,328
BNT_totalwstim_raw_x,isthmuscingulate,0.21191696851318614,8.838692809902067e-05,337
BNT_totalwstim_raw_x,postcentral,0.21182863662874452,8.900230327852343e-05,337
Animals_raw_x,superiorparietal,0.2118307035011744,9.342001023130944e-05,335
BNT_totalwstim_raw_x,lingual,0.21095842595647396,9.528392697542042e-05,337
FAS_total_T_x,parsorbitalis,0.2124190073399061,9.83847546247115e-05,331
Animals_raw_x,temporalpole_rh,0.21085029963554042,0.00010083497031182263,335
Edu_x,insula_rh,0.19861198712840716,0.00010129629666269877,378
FAS_total_raw_x,isthmuscingulate_rh,0.2096758065760831,0.00010530642558220985,337
Animals_T_x,lateralorbitofrontal_rh,0.21213722378357336,0.0001081879404652484,328
Edu_x,inferiortemporal_rh,0.19664097870402703,0.0001190317221386694,378
BNT_totalwstim_T_x,Right-VentralDC,0.20962815729189888,0.00012193765564113324,331
Edu_x,rostralmiddlefrontal_rh,0.1960394525634758,0.0001250003249249866,378
FAS_total_T_x,transversetemporal_rh,0.20905891724045966,0.0001273503652481861,331
Edu_x,parstriangularis,0.19576139244371482,0.00012785330685238878,378
FAS_total_T_x,parsopercularis_rh,0.20864837105961906,0.00013139314741388188,331
Animals_T_x,superiorparietal_rh,0.2093704340505342,0.00013355779175166873,328
Animals_raw_x,Right-choroid-plexus,-0.20707331703816803,0.00013489095062510728,335
Edu_x,precuneus,0.194969677826021,0.000136314956776449,378
Animals_raw_x,caudalanteriorcingulate,0.20656309802976708,0.00014024311902362138,335
FAS_total_T_x,inferiorparietal,0.20704918393617472,0.00014831709127504657,331
Animals_T_x,posteriorcingulate_rh,0.20783205383760928,0.00014997798665720587,328
FAS_total_raw_x,parsorbitalis_rh,0.20505566250780732,0.00015022772684387885,337
Edu_x,temporalpole,0.1937162145780815,0.00015079364657379345,378
BNT_totalwstim_raw_x,cuneus_rh,0.20465144557243414,0.00015491335022465322,337
Age_x,caudalanteriorcingulate_rh,-0.19187047741480723,0.00015505835582977829,384
BNT_totalwstim_T_x,Right-Hippocampus,0.2059635531260623,0.0001609479918970004,331
Edu_x,precentral,0.19263112623459303,0.00016447968357393656,378
Edu_x,superiorparietal,0.19224384312307632,0.000169640152206647,378
FAS_total_T_x,parahippocampal,0.20500760855136352,0.00017289743892656183,331
FAS_total_T_x,lingual_rh,0.2048430271857163,0.00017503671940877295,331
Edu_x,precentral_rh,0.19182232956804784,0.00017542891977708941,378
Animals_raw_x,Brain-Stem,0.20328044396457656,0.00017973310087435795,335
Age_x,caudalmiddlefrontal_rh,-0.18977460548292607,0.00018348495653331635,384
Age_x,rostralanteriorcingulate_rh,-0.18947242430685668,0.00018796491391840576,384
BNT_totalwstim_raw_x,rostralanteriorcingulate_rh,0.20173722545775358,0.000192971860727903,337
Edu_x,Right-Thalamus-Proper,0.19049194565445415,0.00019493618330730078,378
Edu_x,parsorbitalis,0.19028680411801996,0.00019811893471445604,378
BNT_totalwstim_raw_x,Right-Cerebellum-White-Matter,0.20115035584596436,0.00020162548398150814,337
Age_x,caudalanteriorcingulate,-0.1883586372090939,0.0002053770039301238,384
BNT_totalwstim_T_x,inferiorparietal,0.2022556956276817,0.00021209815315438856,331
Animals_T_x,Left-VentralDC,0.2026552496325301,0.00022019917416088295,328
Animals_raw_x,3rd-Ventricle,-0.20034323635121426,0.0002236700836285065,335
