Variable,R_squared
Age_x,0.027685422085630823
Edu_x,0.02927800130036991
FAS_total_raw_x,0.026835042000879685
FAS_total_T_x,0.0389035268155736
Animals_raw_x,0.008811898029009583
Animals_T_x,0.1331766180568488
BNT_totalwstim_raw_x,0.1592855389636699
BNT_totalwstim_T_x,0.13265022666710682
