Test,R²,RMSE,MAE
FAS,-0.5639801392589363,13.456115053896823,10.945789359191162
Animals,-0.26846943574879445,16.539361230773086,12.687243281652325
BNT,-0.27744561892479047,14.84033639389764,12.440252094570727
